candidate_evaluations,seed_0,seed_1,seed_2,seed_3,seed_4
0,78954,78474,79351,80101,76099
16,78770,78390,79027,80033,76049
32,78634,78150,78649,79851,75753
48,78418,78150,78440,79726,75425
64,78228,78108,78388,79597,75233
80,78176,77831,78359,79479,75041
96,77988,77717,78149,79193,74980
112,77934,77673,78039,79055,74628
128,77619,77611,77591,78863,74514
144,77442,77492,77545,78811,74340
160,77406,77336,77437,78605,74106
176,77292,77298,77359,78525,73708
192,77290,77192,77357,78381,73601
208,77266,77074,77156,78169,73375
224,77210,77034,77156,78133,73336
240,76862,77034,77062,77896,73256
256,76809,76778,76876,77726,72956
272,76731,76778,76810,77621,72792
288,76643,76570,76730,77503,72760
304,76335,76352,76662,77310,72522
320,76283,76084,76617,76918,72454
336,76085,75929,76451,76722,72347
352,75994,75929,76287,76604,72299
368,75726,75929,76287,76554,72055
384,75607,75789,76052,76276,71995
400,75467,75541,75914,75973,71781
416,75164,75414,75861,75947,71627
432,74982,75407,75699,75751,71363
448,74982,75017,75569,75647,71141
464,74947,75017,75255,75470,71131
480,74683,74997,75095,75228,71051
496,74323,74734,74815,75062,71046
512,74253,74666,74541,74899,71041
528,74205,74666,74541,74769,70671
544,74015,74538,74471,74717,70571
560,73857,74452,74359,74717,70210
576,73741,74162,74094,74536,69968
592,73631,73981,73902,74415,69802
608,73467,73953,73666,74213,69762
624,73293,73953,73576,74041,69632
640,73254,73853,73354,73978,69549
656,72982,73821,73276,73910,69293
672,72828,73638,73248,73533,69161
688,72614,73336,72856,73337,69041
704,72482,73154,72612,73237,68965
720,72186,73058,72455,73057,68907
736,71891,72818,72363,72902,68727
752,71826,72736,72188,72789,68511
768,71738,72538,72188,72781,68286
784,71671,72529,72188,72561,68241
800,71601,72379,72110,72495,68089
816,71426,72329,72002,72403,67933
832,71208,72239,71888,71727,67847
848,71110,72041,71652,71365,67799
864,71110,72010,71541,71267,67799
880,71057,71974,71221,71024,67735
896,71023,71874,71077,70832,67647
912,70799,71752,71077,70700,67595
928,70683,71752,70987,70690,67462
944,70535,71546,70987,70621,67396
960,70473,71546,70943,70585,67062
976,70455,71450,70732,70292,67062
992,70398,71390,70496,70128,67062
1008,70209,71174,70228,69868,66898
1024,70027,70974,70063,69737,66898
1040,69829,70851,70049,69693,66784
1056,69829,70620,69859,69529,66784
1072,69711,70574,69766,69529,66784
1088,69563,70267,69594,69495,66721
1104,69412,69855,69380,69373,66689
1120,69156,69767,69360,69284,66657
1136,69095,69617,69352,68982,66517
1152,69095,69545,69263,68972,66409
1168,68927,69481,69105,68868,66337
1184,68723,69455,69051,68706,66201
1200,68569,69408,68921,68697,66137
1216,68523,69192,68839,68645,65889
1232,68355,69128,68552,68513,65645
1248,68354,69018,68412,68349,65623
1264,68095,68864,68412,68251,65607
1280,67936,68756,68242,68103,65607
1296,67689,68462,68076,67991,65445
1312,67415,68132,67922,67714,65405
1328,67407,67886,67566,67714,65132
1344,67195,67777,67447,67506,64842
1360,67127,67689,67375,67436,64678
1376,66807,67445,67059,67376,64534
1392,66538,67376,66903,67024,64412
1408,66431,67188,66847,66786,64115
1424,66431,67136,66825,66749,64104
1440,66431,67104,66753,66661,63920
1456,66403,66566,66603,66202,63474
1472,66258,66566,66219,66102,63321
