candidate_evaluations,seed_0,seed_1,seed_2,seed_3,seed_4
0,78954,78474,79351,80101,76099
16,78038,78204,78681,79814,75381
32,77047,77818,77656,78528,75005
48,76408,77665,77627,77531,73881
64,75106,77604,76544,76299,73419
80,74386,75883,76240,75010,72728
96,74202,75736,74454,75214,72124
112,73193,75197,73666,75226,71704
128,72546,74045,72681,74467,70302
144,72316,73221,72435,73560,69317
160,71599,72734,72762,73283,68619
176,71423,72373,72374,73187,68286
192,70857,72107,72488,72816,68125
208,70555,71745,72912,72059,66331
224,69765,71731,72387,71401,66249
240,69177,72233,71859,70569,65656
256,67742,71872,70846,70093,65247
272,67398,72309,70460,70394,64709
288,66940,71622,69971,69791,64603
304,66405,70553,69912,69260,63986
320,66211,69979,68200,68403,63405
336,65440,68855,67875,68240,63518
352,65247,68191,67263,68223,62779
368,64195,67040,67063,67298,62227
384,63710,66654,66861,66773,61663
400,63104,66225,66704,65941,61081
416,62585,65770,66535,66131,60688
432,62135,66084,65575,65782,59857
448,61555,65728,63738,64977,59510
464,61269,65799,63338,64336,59154
480,59772,65041,62987,63556,59717
496,59409,65243,62337,62573,59751
512,59383,64567,62344,62345,58901
528,58343,64859,60919,62628,58230
544,57569,64444,59993,62545,57687
560,57190,64079,60265,61307,58459
576,57741,63904,59202,61589,57994
592,56484,63912,59057,61719,57891
608,56237,63766,59025,61530,57677
624,56030,64726,58347,61070,56181
640,55587,64507,58071,61245,55391
656,55521,63462,58140,60096,54945
672,55034,63543,57626,60192,54821
688,55210,63441,57465,60308,55179
704,54701,62287,56288,60028,55053
720,54881,61859,55438,58934,54703
736,54563,61157,56167,58348,54694
752,54253,61027,56524,57777,54996
768,54026,60332,55951,56784,54666
784,53318,59857,54944,56877,54507
800,52959,59492,55906,56542,54472
816,53015,58795,56034,56439,54039
832,52662,58407,55709,56423,54054
848,52586,57819,55555,55822,53816
864,51937,58088,54892,55469,53428
880,52560,57837,54407,55122,53808
896,51920,57692,54170,54154,53565
912,51223,57311,54621,53814,53645
928,51178,56563,54625,54102,53143
944,51149,57006,53891,54003,53316
960,50486,57199,53536,52478,53199
976,49657,57148,52480,52657,53796
